// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/obj/Release/net10.0/" /p:OutDir="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0/" /p:OutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0/" in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5
// command took 0.6 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/obj/Release/net10.0/" /p:OutDir="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0/" /p:OutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0/" --output "/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0/" in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5
// command took 3.67 sec and exited with 0
// ***** Done, took 00:00:04 (4.3 sec)   *****
// Found 6 benchmarks:
//   NativeListBench.NativeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   NativeListBench.NativeList_AddThenRemoveAt: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   NativeListBench.NativeList_ResizeUninitialized: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   NativeListBench.NativeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]
//   NativeListBench.NativeList_AddThenRemoveAt: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]
//   NativeListBench.NativeList_ResizeUninitialized: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]

// **************************
// Benchmark: NativeListBench.NativeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f40e05a6-d02a-456c-b720-62898c9bc2b5.dll --anonymousPipes 120 121 --benchmarkName "IAFahim.Collections.NoDeps.Bench.NativeListBench.NativeList_Add(N: 64)" --job ShortRun --benchmarkId 0 in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.7 (10.0.726.21808), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

WorkloadWarmup   2: 8388608 op, 708000570.00 ns, 84.4002 ns/op
WorkloadWarmup   3: 8388608 op, 711602447.00 ns, 84.8296 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 707431860.00 ns, 84.3324 ns/op
WorkloadActual   2: 8388608 op, 707491776.00 ns, 84.3396 ns/op
WorkloadActual   3: 8388608 op, 708355135.00 ns, 84.4425 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 690755602.50 ns, 82.3445 ns/op
WorkloadResult   2: 8388608 op, 690815518.50 ns, 82.3516 ns/op
WorkloadResult   3: 8388608 op, 691678877.50 ns, 82.4545 ns/op
// GC:  0 0 0 64 8388608
// Threading:  0 0 8388608

// AfterAll
// Benchmark Process 281466 has exited with code 0.

Mean = 82.384 ns, StdErr = 0.036 ns (0.04%), N = 3, StdDev = 0.062 ns
Min = 82.344 ns, Q1 = 82.348 ns, Median = 82.352 ns, Q3 = 82.403 ns, Max = 82.455 ns
IQR = 0.055 ns, LowerFence = 82.266 ns, UpperFence = 82.486 ns
ConfidenceInterval = [81.260 ns; 83.507 ns] (CI 99.9%), Margin = 1.124 ns (1.36% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2

// ** Remained 5 (83.3%) benchmark(s) to run. Estimated finish 2026-05-17 19:40 (0h 0m from now) **
// **************************
// Benchmark: NativeListBench.NativeList_AddThenRemoveAt: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f40e05a6-d02a-456c-b720-62898c9bc2b5.dll --anonymousPipes 120 121 --benchmarkName "IAFahim.Collections.NoDeps.Bench.NativeListBench.NativeList_AddThenRemoveAt(N: 64)" --job ShortRun --benchmarkId 1 in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.7 (10.0.726.21808), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 147278.00 ns, 147.2780 us/op
WorkloadJitting  1: 1 op, 611516.00 ns, 611.5160 us/op

OverheadJitting  2: 16 op, 142745.00 ns, 8.9216 us/op
WorkloadJitting  2: 16 op, 167558.00 ns, 10.4724 us/op

WorkloadPilot    1: 16 op, 38752.00 ns, 2.4220 us/op
WorkloadPilot    2: 32 op, 92616.00 ns, 2.8943 us/op
WorkloadPilot    3: 64 op, 132385.00 ns, 2.0685 us/op
WorkloadPilot    4: 128 op, 248823.00 ns, 1.9439 us/op
WorkloadPilot    5: 256 op, 462245.00 ns, 1.8056 us/op
WorkloadPilot    6: 512 op, 832424.00 ns, 1.6258 us/op
WorkloadPilot    7: 1024 op, 1534098.00 ns, 1.4981 us/op
WorkloadPilot    8: 2048 op, 3002022.00 ns, 1.4658 us/op
WorkloadPilot    9: 4096 op, 6091549.00 ns, 1.4872 us/op
WorkloadPilot   10: 8192 op, 11969247.00 ns, 1.4611 us/op
WorkloadPilot   11: 16384 op, 24089590.00 ns, 1.4703 us/op
WorkloadPilot   12: 32768 op, 47666816.00 ns, 1.4547 us/op
WorkloadPilot   13: 65536 op, 62741484.00 ns, 957.3591 ns/op
WorkloadPilot   14: 131072 op, 38563503.00 ns, 294.2162 ns/op
WorkloadPilot   15: 262144 op, 75758631.00 ns, 288.9962 ns/op
WorkloadPilot   16: 524288 op, 150363195.00 ns, 286.7950 ns/op
WorkloadPilot   17: 1048576 op, 300710195.00 ns, 286.7796 ns/op
WorkloadPilot   18: 2097152 op, 604470879.00 ns, 288.2342 ns/op

OverheadWarmup   1: 2097152 op, 4174878.00 ns, 1.9907 ns/op
OverheadWarmup   2: 2097152 op, 4174275.00 ns, 1.9904 ns/op
OverheadWarmup   3: 2097152 op, 4169516.00 ns, 1.9882 ns/op
OverheadWarmup   4: 2097152 op, 4169653.00 ns, 1.9882 ns/op
OverheadWarmup   5: 2097152 op, 4188313.00 ns, 1.9971 ns/op
OverheadWarmup   6: 2097152 op, 4170261.00 ns, 1.9885 ns/op
OverheadWarmup   7: 2097152 op, 4168579.00 ns, 1.9877 ns/op
OverheadWarmup   8: 2097152 op, 4168759.00 ns, 1.9878 ns/op
OverheadWarmup   9: 2097152 op, 4168681.00 ns, 1.9878 ns/op

OverheadActual   1: 2097152 op, 4182792.00 ns, 1.9945 ns/op
OverheadActual   2: 2097152 op, 4178385.00 ns, 1.9924 ns/op
OverheadActual   3: 2097152 op, 4174106.00 ns, 1.9904 ns/op
OverheadActual   4: 2097152 op, 4171118.00 ns, 1.9889 ns/op
OverheadActual   5: 2097152 op, 4175576.00 ns, 1.9911 ns/op
OverheadActual   6: 2097152 op, 4169853.00 ns, 1.9883 ns/op
OverheadActual   7: 2097152 op, 4177404.00 ns, 1.9919 ns/op
OverheadActual   8: 2097152 op, 4169084.00 ns, 1.9880 ns/op
OverheadActual   9: 2097152 op, 4170421.00 ns, 1.9886 ns/op
OverheadActual  10: 2097152 op, 4171426.00 ns, 1.9891 ns/op
OverheadActual  11: 2097152 op, 4169159.00 ns, 1.9880 ns/op
OverheadActual  12: 2097152 op, 4168236.00 ns, 1.9876 ns/op
OverheadActual  13: 2097152 op, 4169783.00 ns, 1.9883 ns/op
OverheadActual  14: 2097152 op, 4169203.00 ns, 1.9880 ns/op
OverheadActual  15: 2097152 op, 4170498.00 ns, 1.9886 ns/op

WorkloadWarmup   1: 2097152 op, 600435311.00 ns, 286.3099 ns/op
WorkloadWarmup   2: 2097152 op, 600015164.00 ns, 286.1095 ns/op
WorkloadWarmup   3: 2097152 op, 607325612.00 ns, 289.5954 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 600226452.00 ns, 286.2103 ns/op
WorkloadActual   2: 2097152 op, 600535216.00 ns, 286.3575 ns/op
WorkloadActual   3: 2097152 op, 599591986.00 ns, 285.9077 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 596055954.00 ns, 284.2216 ns/op
WorkloadResult   2: 2097152 op, 596364718.00 ns, 284.3689 ns/op
WorkloadResult   3: 2097152 op, 595421488.00 ns, 283.9191 ns/op
// GC:  0 0 0 736 2097152
// Threading:  0 0 2097152

// AfterAll
// Benchmark Process 281494 has exited with code 0.

Mean = 284.170 ns, StdErr = 0.132 ns (0.05%), N = 3, StdDev = 0.229 ns
Min = 283.919 ns, Q1 = 284.070 ns, Median = 284.222 ns, Q3 = 284.295 ns, Max = 284.369 ns
IQR = 0.225 ns, LowerFence = 283.733 ns, UpperFence = 284.633 ns
ConfidenceInterval = [279.986 ns; 288.353 ns] (CI 99.9%), Margin = 4.183 ns (1.47% of Mean)
Skewness = -0.21, Kurtosis = 0.67, MValue = 2

// ** Remained 4 (66.7%) benchmark(s) to run. Estimated finish 2026-05-17 19:40 (0h 0m from now) **
// **************************
// Benchmark: NativeListBench.NativeList_ResizeUninitialized: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f40e05a6-d02a-456c-b720-62898c9bc2b5.dll --anonymousPipes 120 121 --benchmarkName "IAFahim.Collections.NoDeps.Bench.NativeListBench.NativeList_ResizeUninitialized(N: 64)" --job ShortRun --benchmarkId 2 in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.7 (10.0.726.21808), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 140111.00 ns, 140.1110 us/op
WorkloadJitting  1: 1 op, 554705.00 ns, 554.7050 us/op

OverheadJitting  2: 16 op, 146082.00 ns, 9.1301 us/op
WorkloadJitting  2: 16 op, 134249.00 ns, 8.3906 us/op

WorkloadPilot    1: 16 op, 8849.00 ns, 553.0625 ns/op
WorkloadPilot    2: 32 op, 16512.00 ns, 516.0000 ns/op
WorkloadPilot    3: 64 op, 32261.00 ns, 504.0781 ns/op
WorkloadPilot    4: 128 op, 87600.00 ns, 684.3750 ns/op
WorkloadPilot    5: 256 op, 132435.00 ns, 517.3242 ns/op
WorkloadPilot    6: 512 op, 264796.00 ns, 517.1797 ns/op
WorkloadPilot    7: 1024 op, 433364.00 ns, 423.2070 ns/op
WorkloadPilot    8: 2048 op, 791231.00 ns, 386.3433 ns/op
WorkloadPilot    9: 4096 op, 1490226.00 ns, 363.8247 ns/op
WorkloadPilot   10: 8192 op, 2990411.00 ns, 365.0404 ns/op
WorkloadPilot   11: 16384 op, 5960347.00 ns, 363.7907 ns/op
WorkloadPilot   12: 32768 op, 11715192.00 ns, 357.5193 ns/op
WorkloadPilot   13: 65536 op, 23380924.00 ns, 356.7646 ns/op
WorkloadPilot   14: 131072 op, 46485585.00 ns, 354.6569 ns/op
WorkloadPilot   15: 262144 op, 59567596.00 ns, 227.2323 ns/op
WorkloadPilot   16: 524288 op, 20176043.00 ns, 38.4827 ns/op
WorkloadPilot   17: 1048576 op, 34750654.00 ns, 33.1408 ns/op
WorkloadPilot   18: 2097152 op, 67542586.00 ns, 32.2068 ns/op
WorkloadPilot   19: 4194304 op, 135663018.00 ns, 32.3446 ns/op
WorkloadPilot   20: 8388608 op, 270177219.00 ns, 32.2076 ns/op
WorkloadPilot   21: 16777216 op, 540763572.00 ns, 32.2320 ns/op

OverheadWarmup   1: 16777216 op, 30413780.00 ns, 1.8128 ns/op
OverheadWarmup   2: 16777216 op, 30420492.00 ns, 1.8132 ns/op
OverheadWarmup   3: 16777216 op, 30444358.00 ns, 1.8146 ns/op
OverheadWarmup   4: 16777216 op, 30412797.00 ns, 1.8127 ns/op
OverheadWarmup   5: 16777216 op, 30414563.00 ns, 1.8128 ns/op
OverheadWarmup   6: 16777216 op, 30414112.00 ns, 1.8128 ns/op

OverheadActual   1: 16777216 op, 30423439.00 ns, 1.8134 ns/op
OverheadActual   2: 16777216 op, 30428204.00 ns, 1.8137 ns/op
OverheadActual   3: 16777216 op, 30431078.00 ns, 1.8138 ns/op
OverheadActual   4: 16777216 op, 30421943.00 ns, 1.8133 ns/op
OverheadActual   5: 16777216 op, 30424025.00 ns, 1.8134 ns/op
OverheadActual   6: 16777216 op, 30412141.00 ns, 1.8127 ns/op
OverheadActual   7: 16777216 op, 30418387.00 ns, 1.8131 ns/op
OverheadActual   8: 16777216 op, 30424885.00 ns, 1.8135 ns/op
OverheadActual   9: 16777216 op, 30440920.00 ns, 1.8144 ns/op
OverheadActual  10: 16777216 op, 30412196.00 ns, 1.8127 ns/op
OverheadActual  11: 16777216 op, 23154442.00 ns, 1.3801 ns/op
OverheadActual  12: 16777216 op, 21562697.00 ns, 1.2852 ns/op
OverheadActual  13: 16777216 op, 21561994.00 ns, 1.2852 ns/op
OverheadActual  14: 16777216 op, 21561533.00 ns, 1.2852 ns/op
OverheadActual  15: 16777216 op, 21562343.00 ns, 1.2852 ns/op
OverheadActual  16: 16777216 op, 21569027.00 ns, 1.2856 ns/op
OverheadActual  17: 16777216 op, 21559835.00 ns, 1.2851 ns/op
OverheadActual  18: 16777216 op, 21582960.00 ns, 1.2864 ns/op
OverheadActual  19: 16777216 op, 21593912.00 ns, 1.2871 ns/op
OverheadActual  20: 16777216 op, 21592035.00 ns, 1.2870 ns/op

WorkloadWarmup   1: 16777216 op, 539215501.00 ns, 32.1397 ns/op
WorkloadWarmup   2: 16777216 op, 547598920.00 ns, 32.6394 ns/op
WorkloadWarmup   3: 16777216 op, 542474605.00 ns, 32.3340 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 540748426.00 ns, 32.2311 ns/op
WorkloadActual   2: 16777216 op, 542267182.00 ns, 32.3216 ns/op
WorkloadActual   3: 16777216 op, 539275220.00 ns, 32.1433 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 513965134.50 ns, 30.6347 ns/op
WorkloadResult   2: 16777216 op, 515483890.50 ns, 30.7252 ns/op
WorkloadResult   3: 16777216 op, 512491928.50 ns, 30.5469 ns/op
// GC:  0 0 0 736 16777216
// Threading:  0 0 16777216

// AfterAll
// Benchmark Process 281515 has exited with code 0.

Mean = 30.636 ns, StdErr = 0.051 ns (0.17%), N = 3, StdDev = 0.089 ns
Min = 30.547 ns, Q1 = 30.591 ns, Median = 30.635 ns, Q3 = 30.680 ns, Max = 30.725 ns
IQR = 0.089 ns, LowerFence = 30.457 ns, UpperFence = 30.814 ns
ConfidenceInterval = [29.009 ns; 32.262 ns] (CI 99.9%), Margin = 1.627 ns (5.31% of Mean)
Skewness = 0.01, Kurtosis = 0.67, MValue = 2

// ** Remained 3 (50.0%) benchmark(s) to run. Estimated finish 2026-05-17 19:40 (0h 0m from now) **
// **************************
// Benchmark: NativeListBench.NativeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f40e05a6-d02a-456c-b720-62898c9bc2b5.dll --anonymousPipes 120 121 --benchmarkName "IAFahim.Collections.NoDeps.Bench.NativeListBench.NativeList_Add(N: 1024)" --job ShortRun --benchmarkId 3 in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.7 (10.0.726.21808), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 136536.00 ns, 136.5360 us/op
WorkloadJitting  1: 1 op, 535411.00 ns, 535.4110 us/op

OverheadJitting  2: 16 op, 122706.00 ns, 7.6691 us/op
WorkloadJitting  2: 16 op, 1019723.00 ns, 63.7327 us/op

WorkloadPilot    1: 16 op, 207773.00 ns, 12.9858 us/op
WorkloadPilot    2: 32 op, 338786.00 ns, 10.5871 us/op
WorkloadPilot    3: 64 op, 581190.00 ns, 9.0811 us/op
WorkloadPilot    4: 128 op, 1121822.00 ns, 8.7642 us/op
WorkloadPilot    5: 256 op, 2147698.00 ns, 8.3894 us/op
WorkloadPilot    6: 512 op, 4234880.00 ns, 8.2713 us/op
