// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/obj/Release/net10.0/" /p:OutDir="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0/" /p:OutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0/" in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062
// command took 0.64 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/obj/Release/net10.0/" /p:OutDir="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0/" /p:OutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0/" --output "/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0/" in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062
// command took 3.72 sec and exited with 0
// ***** Done, took 00:00:04 (4.39 sec)   *****
// Found 6 benchmarks:
//   UnsafeListBench.UnsafeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   UnsafeListBench.UnsafeList_AddRange: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   UnsafeListBench.UnsafeList_ResizeUninitialized: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   UnsafeListBench.UnsafeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]
//   UnsafeListBench.UnsafeList_AddRange: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]
//   UnsafeListBench.UnsafeList_ResizeUninitialized: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]

// **************************
// Benchmark: UnsafeListBench.UnsafeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 3a02ec4a-98bc-4747-8cce-cc199ede2062.dll --anonymousPipes 120 121 --benchmarkName "IAFahim.Collections.NoDeps.Bench.UnsafeListBench.UnsafeList_Add(N: 64)" --job ShortRun --benchmarkId 0 in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.7 (10.0.726.21808), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

WorkloadResult   1: 8388608 op, 698576105.50 ns, 83.2768 ns/op
WorkloadResult   2: 8388608 op, 698732226.50 ns, 83.2954 ns/op
WorkloadResult   3: 8388608 op, 698519442.50 ns, 83.2700 ns/op
// GC:  0 0 0 64 8388608
// Threading:  0 0 8388608

// AfterAll
// Benchmark Process 281982 has exited with code 0.

Mean = 83.281 ns, StdErr = 0.008 ns (0.01%), N = 3, StdDev = 0.013 ns
Min = 83.270 ns, Q1 = 83.273 ns, Median = 83.277 ns, Q3 = 83.286 ns, Max = 83.295 ns
IQR = 0.013 ns, LowerFence = 83.254 ns, UpperFence = 83.305 ns
ConfidenceInterval = [83.041 ns; 83.520 ns] (CI 99.9%), Margin = 0.240 ns (0.29% of Mean)
Skewness = 0.27, Kurtosis = 0.67, MValue = 2

// ** Remained 5 (83.3%) benchmark(s) to run. Estimated finish 2026-05-17 19:41 (0h 0m from now) **
// **************************
// Benchmark: UnsafeListBench.UnsafeList_AddRange: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 3a02ec4a-98bc-4747-8cce-cc199ede2062.dll --anonymousPipes 120 121 --benchmarkName "IAFahim.Collections.NoDeps.Bench.UnsafeListBench.UnsafeList_AddRange(N: 64)" --job ShortRun --benchmarkId 1 in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.7 (10.0.726.21808), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 135246.00 ns, 135.2460 us/op
WorkloadJitting  1: 1 op, 464795.00 ns, 464.7950 us/op

OverheadJitting  2: 16 op, 125364.00 ns, 7.8353 us/op
WorkloadJitting  2: 16 op, 164311.00 ns, 10.2694 us/op

WorkloadPilot    1: 16 op, 25536.00 ns, 1.5960 us/op
WorkloadPilot    2: 32 op, 67528.00 ns, 2.1103 us/op
WorkloadPilot    3: 64 op, 79875.00 ns, 1.2480 us/op
WorkloadPilot    4: 128 op, 115804.00 ns, 904.7188 ns/op
WorkloadPilot    5: 256 op, 189057.00 ns, 738.5039 ns/op
WorkloadPilot    6: 512 op, 343216.00 ns, 670.3438 ns/op
WorkloadPilot    7: 1024 op, 642437.00 ns, 627.3799 ns/op
WorkloadPilot    8: 2048 op, 1239720.00 ns, 605.3320 ns/op
WorkloadPilot    9: 4096 op, 2447701.00 ns, 597.5833 ns/op
WorkloadPilot   10: 8192 op, 4903049.00 ns, 598.5167 ns/op
WorkloadPilot   11: 16384 op, 10026382.00 ns, 611.9618 ns/op
WorkloadPilot   12: 32768 op, 19605955.00 ns, 598.3263 ns/op
WorkloadPilot   13: 65536 op, 39069009.00 ns, 596.1458 ns/op
WorkloadPilot   14: 131072 op, 73414282.00 ns, 560.1065 ns/op
WorkloadPilot   15: 262144 op, 11411418.00 ns, 43.5311 ns/op
WorkloadPilot   16: 524288 op, 22951950.00 ns, 43.7774 ns/op
WorkloadPilot   17: 1048576 op, 45717144.00 ns, 43.5993 ns/op
WorkloadPilot   18: 2097152 op, 91325987.00 ns, 43.5476 ns/op
WorkloadPilot   19: 4194304 op, 182661276.00 ns, 43.5498 ns/op
WorkloadPilot   20: 8388608 op, 365680824.00 ns, 43.5926 ns/op
WorkloadPilot   21: 16777216 op, 731002549.00 ns, 43.5711 ns/op

OverheadWarmup   1: 16777216 op, 30417167.00 ns, 1.8130 ns/op
OverheadWarmup   2: 16777216 op, 30452090.00 ns, 1.8151 ns/op
OverheadWarmup   3: 16777216 op, 30411872.00 ns, 1.8127 ns/op
OverheadWarmup   4: 16777216 op, 30420515.00 ns, 1.8132 ns/op
OverheadWarmup   5: 16777216 op, 30433000.00 ns, 1.8139 ns/op
OverheadWarmup   6: 16777216 op, 30407668.00 ns, 1.8124 ns/op

OverheadActual   1: 16777216 op, 30428390.00 ns, 1.8137 ns/op
OverheadActual   2: 16777216 op, 30423895.00 ns, 1.8134 ns/op
OverheadActual   3: 16777216 op, 30412349.00 ns, 1.8127 ns/op
OverheadActual   4: 16777216 op, 30415075.00 ns, 1.8129 ns/op
OverheadActual   5: 16777216 op, 30429674.00 ns, 1.8137 ns/op
OverheadActual   6: 16777216 op, 30458406.00 ns, 1.8155 ns/op
OverheadActual   7: 16777216 op, 30414960.00 ns, 1.8129 ns/op
OverheadActual   8: 16777216 op, 30416414.00 ns, 1.8130 ns/op
OverheadActual   9: 16777216 op, 30424965.00 ns, 1.8135 ns/op
OverheadActual  10: 16777216 op, 30410642.00 ns, 1.8126 ns/op
OverheadActual  11: 16777216 op, 23426789.00 ns, 1.3963 ns/op
OverheadActual  12: 16777216 op, 21559057.00 ns, 1.2850 ns/op
OverheadActual  13: 16777216 op, 21642502.00 ns, 1.2900 ns/op
OverheadActual  14: 16777216 op, 21573148.00 ns, 1.2859 ns/op
OverheadActual  15: 16777216 op, 21554456.00 ns, 1.2847 ns/op
OverheadActual  16: 16777216 op, 21563905.00 ns, 1.2853 ns/op
OverheadActual  17: 16777216 op, 21597746.00 ns, 1.2873 ns/op
OverheadActual  18: 16777216 op, 21616235.00 ns, 1.2884 ns/op
OverheadActual  19: 16777216 op, 21590541.00 ns, 1.2869 ns/op
OverheadActual  20: 16777216 op, 21603662.00 ns, 1.2877 ns/op

WorkloadWarmup   1: 16777216 op, 732079778.00 ns, 43.6354 ns/op
WorkloadWarmup   2: 16777216 op, 738159151.00 ns, 43.9977 ns/op
WorkloadWarmup   3: 16777216 op, 731763663.00 ns, 43.6165 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 730610910.00 ns, 43.5478 ns/op
WorkloadActual   2: 16777216 op, 731915314.00 ns, 43.6256 ns/op
WorkloadActual   3: 16777216 op, 733414776.00 ns, 43.7149 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 703692194.50 ns, 41.9433 ns/op
WorkloadResult   2: 16777216 op, 704996598.50 ns, 42.0211 ns/op
WorkloadResult   3: 16777216 op, 706496060.50 ns, 42.1104 ns/op
// GC:  0 0 0 64 16777216
// Threading:  0 0 16777216

// AfterAll
// Benchmark Process 281997 has exited with code 0.

Mean = 42.025 ns, StdErr = 0.048 ns (0.11%), N = 3, StdDev = 0.084 ns
Min = 41.943 ns, Q1 = 41.982 ns, Median = 42.021 ns, Q3 = 42.066 ns, Max = 42.110 ns
IQR = 0.084 ns, LowerFence = 41.857 ns, UpperFence = 42.191 ns
ConfidenceInterval = [40.499 ns; 43.551 ns] (CI 99.9%), Margin = 1.526 ns (3.63% of Mean)
Skewness = 0.05, Kurtosis = 0.67, MValue = 2

// ** Remained 4 (66.7%) benchmark(s) to run. Estimated finish 2026-05-17 19:41 (0h 0m from now) **
// **************************
// Benchmark: UnsafeListBench.UnsafeList_ResizeUninitialized: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 3a02ec4a-98bc-4747-8cce-cc199ede2062.dll --anonymousPipes 120 121 --benchmarkName "IAFahim.Collections.NoDeps.Bench.UnsafeListBench.UnsafeList_ResizeUninitialized(N: 64)" --job ShortRun --benchmarkId 2 in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.7 (10.0.726.21808), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 135950.00 ns, 135.9500 us/op
WorkloadJitting  1: 1 op, 561949.00 ns, 561.9490 us/op

OverheadJitting  2: 16 op, 137706.00 ns, 8.6066 us/op
WorkloadJitting  2: 16 op, 135312.00 ns, 8.4570 us/op

WorkloadPilot    1: 16 op, 9503.00 ns, 593.9375 ns/op
WorkloadPilot    2: 32 op, 17439.00 ns, 544.9688 ns/op
WorkloadPilot    3: 64 op, 34414.00 ns, 537.7188 ns/op
WorkloadPilot    4: 128 op, 92358.00 ns, 721.5469 ns/op
WorkloadPilot    5: 256 op, 145481.00 ns, 568.2852 ns/op
WorkloadPilot    6: 512 op, 263317.00 ns, 514.2910 ns/op
WorkloadPilot    7: 1024 op, 432053.00 ns, 421.9268 ns/op
WorkloadPilot    8: 2048 op, 795455.00 ns, 388.4058 ns/op
WorkloadPilot    9: 4096 op, 1494380.00 ns, 364.8389 ns/op
WorkloadPilot   10: 8192 op, 2999932.00 ns, 366.2026 ns/op
WorkloadPilot   11: 16384 op, 5842895.00 ns, 356.6220 ns/op
WorkloadPilot   12: 32768 op, 11729062.00 ns, 357.9426 ns/op
WorkloadPilot   13: 65536 op, 22898725.00 ns, 349.4068 ns/op
WorkloadPilot   14: 131072 op, 46096608.00 ns, 351.6892 ns/op
WorkloadPilot   15: 262144 op, 60802921.00 ns, 231.9447 ns/op
WorkloadPilot   16: 524288 op, 17446678.00 ns, 33.2769 ns/op
WorkloadPilot   17: 1048576 op, 34281366.00 ns, 32.6933 ns/op
WorkloadPilot   18: 2097152 op, 67738173.00 ns, 32.3001 ns/op
WorkloadPilot   19: 4194304 op, 134641563.00 ns, 32.1011 ns/op
WorkloadPilot   20: 8388608 op, 270557156.00 ns, 32.2529 ns/op
WorkloadPilot   21: 16777216 op, 542730483.00 ns, 32.3493 ns/op

OverheadWarmup   1: 16777216 op, 30436079.00 ns, 1.8141 ns/op
OverheadWarmup   2: 16777216 op, 30428160.00 ns, 1.8137 ns/op
OverheadWarmup   3: 16777216 op, 30408024.00 ns, 1.8125 ns/op
OverheadWarmup   4: 16777216 op, 30411406.00 ns, 1.8127 ns/op
OverheadWarmup   5: 16777216 op, 30440425.00 ns, 1.8144 ns/op
OverheadWarmup   6: 16777216 op, 30440615.00 ns, 1.8144 ns/op
OverheadWarmup   7: 16777216 op, 30417941.00 ns, 1.8131 ns/op
OverheadWarmup   8: 16777216 op, 30398422.00 ns, 1.8119 ns/op
OverheadWarmup   9: 16777216 op, 30402774.00 ns, 1.8121 ns/op
OverheadWarmup  10: 16777216 op, 27868167.00 ns, 1.6611 ns/op

OverheadActual   1: 16777216 op, 21597761.00 ns, 1.2873 ns/op
OverheadActual   2: 16777216 op, 21605009.00 ns, 1.2878 ns/op
OverheadActual   3: 16777216 op, 21686924.00 ns, 1.2926 ns/op
OverheadActual   4: 16777216 op, 21607831.00 ns, 1.2879 ns/op
OverheadActual   5: 16777216 op, 21556500.00 ns, 1.2849 ns/op
OverheadActual   6: 16777216 op, 21556481.00 ns, 1.2849 ns/op
OverheadActual   7: 16777216 op, 21556828.00 ns, 1.2849 ns/op
OverheadActual   8: 16777216 op, 21611946.00 ns, 1.2882 ns/op
OverheadActual   9: 16777216 op, 21556115.00 ns, 1.2848 ns/op
OverheadActual  10: 16777216 op, 21558102.00 ns, 1.2850 ns/op
OverheadActual  11: 16777216 op, 21563106.00 ns, 1.2853 ns/op
OverheadActual  12: 16777216 op, 21558981.00 ns, 1.2850 ns/op
OverheadActual  13: 16777216 op, 21596469.00 ns, 1.2872 ns/op
OverheadActual  14: 16777216 op, 21566116.00 ns, 1.2854 ns/op
OverheadActual  15: 16777216 op, 21627826.00 ns, 1.2891 ns/op

WorkloadWarmup   1: 16777216 op, 541837828.00 ns, 32.2961 ns/op
WorkloadWarmup   2: 16777216 op, 541857058.00 ns, 32.2972 ns/op
WorkloadWarmup   3: 16777216 op, 539595809.00 ns, 32.1624 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 539824877.00 ns, 32.1761 ns/op
WorkloadActual   2: 16777216 op, 540219702.00 ns, 32.1996 ns/op
WorkloadActual   3: 16777216 op, 539891943.00 ns, 32.1801 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 518258761.00 ns, 30.8906 ns/op
WorkloadResult   2: 16777216 op, 518653586.00 ns, 30.9142 ns/op
WorkloadResult   3: 16777216 op, 518325827.00 ns, 30.8946 ns/op
// GC:  0 0 0 736 16777216
// Threading:  0 0 16777216

// AfterAll
// Benchmark Process 282016 has exited with code 0.

Mean = 30.900 ns, StdErr = 0.007 ns (0.02%), N = 3, StdDev = 0.013 ns
Min = 30.891 ns, Q1 = 30.893 ns, Median = 30.895 ns, Q3 = 30.904 ns, Max = 30.914 ns
IQR = 0.012 ns, LowerFence = 30.875 ns, UpperFence = 30.922 ns
ConfidenceInterval = [30.670 ns; 31.130 ns] (CI 99.9%), Margin = 0.230 ns (0.74% of Mean)
Skewness = 0.34, Kurtosis = 0.67, MValue = 2

// ** Remained 3 (50.0%) benchmark(s) to run. Estimated finish 2026-05-17 19:41 (0h 0m from now) **
// **************************
// Benchmark: UnsafeListBench.UnsafeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 3a02ec4a-98bc-4747-8cce-cc199ede2062.dll --anonymousPipes 120 121 --benchmarkName "IAFahim.Collections.NoDeps.Bench.UnsafeListBench.UnsafeList_Add(N: 1024)" --job ShortRun --benchmarkId 3 in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.7 (10.0.726.21808), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 138678.00 ns, 138.6780 us/op
WorkloadJitting  1: 1 op, 533980.00 ns, 533.9800 us/op

OverheadJitting  2: 16 op, 122869.00 ns, 7.6793 us/op
WorkloadJitting  2: 16 op, 1011091.00 ns, 63.1932 us/op

WorkloadPilot    1: 16 op, 206315.00 ns, 12.8947 us/op
WorkloadPilot    2: 32 op, 329519.00 ns, 10.2975 us/op
WorkloadPilot    3: 64 op, 595782.00 ns, 9.3091 us/op
WorkloadPilot    4: 128 op, 1105275.00 ns, 8.6350 us/op
WorkloadPilot    5: 256 op, 2172621.00 ns, 8.4868 us/op
